JOB_ID,TITLE,DESCRIPTION,DISPLAY DATE,LINK,CITY,COUNTRY
1118422,Chemist,We are looking for the services of ChemistFresh candidates are encouraged to apply.,2020-12-30,https://www.rozee.pk/saca-plus-warehouse-chemist-karachi-jobs-1118422.php,Karachi,Pakistan
1118164,.Net Developer,Please apply only if you have relevant experienceWe are looking for a .Net Developer (Winform & Web Forms) who must have strong concept of P..,2020-12-30,https://www.rozee.pk/x2x-integrations-pvt-ltd-net-developer-karachi-lahore-multan-bahawalpur-jobs-1118164.php,Multiple Cities,Pakistan
1118432,Sr. SQA Engineer,,2020-12-30,https://www.rozee.pk/veripark-software-solutions-sr-sqa-engineer-islamabad-karachi-lahore-jobs-1118432.php,Multiple Cities,Pakistan
1111186,Sales and Relationship Officer,OBJEXYZ is looking for a Sales Officer to join our Sales team.nCarefully read the Description & Requirements before applying.n nJob Descript..,2020-12-30,https://www.rozee.pk/objexyz-pvt-ltd-sales-and-relationship-officer-karachi-jobs-1111186.php,Karachi,Pakistan
1118427,Content \/ Creative Writer,Do you love cross-platform storytelling? Can you anatomize why the stories make sense and how they couldu2019ve been improved? Are you watching ..,2020-12-30,https://www.rozee.pk/together-private-limited-content-creative-writer-karachi-jobs-1118427.php,Karachi,Pakistan
1118425,Junior Maintenance Engineer,Will be responsible for the continuous running of equipment and machineryOversee routine maintenance and organize repairs.Also be involved w..,2020-12-30,https://www.rozee.pk/karam-ceramics-limited-junior-maintenance-engineer-karachi-jobs-1118425.php,Karachi,Pakistan
1113813,Software Engineer (Dot Net) \/ API Integration,Datasoft Solutions (PVT) Ltd. is looking for an API Integration Developer. This role will support the companyu2019s mission by bringing leading ..,2020-12-30,https://www.rozee.pk/datasoft-solutions-pvt-ltd-software-engineer-dot-net-api-integration-karachi-jobs-1113813.php,Karachi,Pakistan
1118420,SEO \/ Content Writer,,2020-12-30,https://www.rozee.pk/unit-a-technologies-seo-content-writer-karachi-jobs-1118420.php,Karachi,Pakistan
1118411,SQA Engineer,Innovative Solutions is hiring for the position of SQA Engineer.Working Days,2020-12-30,https://www.rozee.pk/innovative-solutions-sqa-engineer-karachi-jobs-1118411.php,Karachi,Pakistan
1118397,Senior Web Developer,We looking for good experienced developer on PHP and wordpress + other CMSWe are small organization with small team so we need professional ..,2020-12-30,https://www.rozee.pk/rehmat-tech-senior-web-developer-karachi-jobs-1118397.php,Karachi,Pakistan
1118395,Admin \/ Accounts Assistant,Company Introduction,2020-12-30,https://www.rozee.pk/darul-madinah-admin-accounts-assistant-karachi-jobs-1118395.php,Karachi,Pakistan
1118390,Sales Executive,We are looking for the services of Sales ExecutiveExperienced candidates are encouraged to apply.,2020-12-30,https://www.rozee.pk/sam-water-sales-executive-karachi-jobs-1118390.php,Karachi,Pakistan
1118384,Project Analyst,The Division,2020-12-30,https://www.rozee.pk/contour-software-project-analyst-jobs-1118384.php,Karachi,Pakistan
1118364,Assistant Manager Accounts \/ Taxation,,2020-12-30,https://www.rozee.pk/meezan-ship-breaker-assistant-manager-accounts-taxation-karachi-jobs-1118364.php,Karachi,Pakistan
1118356,Electronics Engineer,,2020-12-30,https://www.rozee.pk/karam-ceramics-limited-electronics-engineer-karachi-jobs-1118356.php,Karachi,Pakistan
1118314,Web \/ Graphic Designer - UI \/ UX  - Remote,,2020-12-30,https://www.rozee.pk/earthera-web-graphic-designer-ui-ux-remote-karachi-jobs-1118314.php,Karachi,Pakistan
1118326,HR Intern,,2020-12-30,https://www.rozee.pk/gaotek-inc-hr-intern-islamabad-karachi-lahore-jobs-1118326.php,Multiple Cities,Pakistan
1118309,Sales \/ Business Development Executive -Textile,AGI-Group INC is looking for a Sales Executive for its Kids brand.Position based in Karachi.Responsibilities,2020-12-30,https://www.rozee.pk/agi-group-inc-sales-business-development-executive-textile-karachi-jobs-1118309.php,Karachi,Pakistan
1118319,Finance Consultant,,2020-12-30,https://www.rozee.pk/marie-stopes-society-finance-consultant-karachi-jobs-1118319.php,Karachi,Pakistan
1118146,Social Media Marketing Expert,Kids Polo Association is looking for a Social media Executive for a clothing brand based in Karachi.Job description,2020-12-30,https://www.rozee.pk/agi-group-inc-social-media-marketing-expert-karachi-jobs-1118146.php,Karachi,Pakistan
1118310,Sales Officer \/ Order Booker,Only for Karachi;We are hiring order bookers for our reputed FMCG Company. Offering handsome salary + incentive + medical allowance.Duration..,2020-12-30,https://www.rozee.pk/shangrila-foods-pvt-ltd-sales-officer-order-booker-karachi-jobs-1118310.php,Karachi,Pakistan
1118308,Graphic Designer,A textile firm is looking for a Graphic designer.Position is Karachi Based.Responsibilities,2020-12-30,https://www.rozee.pk/agi-group-inc-graphic-designer-karachi-jobs-1118308.php,Karachi,Pakistan
1117783,React Native Developer,,2020-12-30,https://www.rozee.pk/runglobal-online-solutions-react-native-developer-karachi-jobs-1117783.php,Karachi,Pakistan
1118304,Senior PHP Developer,,2020-12-30,https://www.rozee.pk/megasouk-pk-senior-php-developer-karachi-jobs-1118304.php,Karachi,Pakistan
1118290,Business Growth Assistant,Manage contact lists and customer spreadsheetsManaging databaseTake care of companyu2019s social media accountsHandle clients inquiries Maintain..,2020-12-30,https://www.rozee.pk/nexco-japan-ltd-co-business-growth-assistant-islamabad-faisalabad-karachi-lahore-multan-peshawar-rawalpindi-abbottabad-jobs-1118290.php,Multiple Cities,Pakistan
1118192,Field Marketing Officer,We are looking for the services of Field Marketing OfficerCandidates with experience are encouraged to apply.,2020-12-30,https://www.rozee.pk/nf-marketing-field-marketing-officer-karachi-jobs-1118192.php,Karachi,Pakistan
1118127,Business Development Executive,1 year + experienceMust have sales experience.Excellent English communication skills.Strong understanding of online freelancing platforms u2013 ..,2020-12-30,https://www.rozee.pk/nytrotech-business-development-executive-karachi-jobs-1118127.php,Karachi,Pakistan
1117942,Sales Executive,We are looking to hire self-motivated and energetic Sales Executives for our booking Office located in Karachi.nResponsibilities,2020-12-30,https://www.rozee.pk/brand-fuel-sales-executive-karachi-jobs-1117942.php,Karachi,Pakistan
1118262,Fashion Designer,We are looking for Fashion Designers for our semi-formal departmentCandidates with experience are encouraged to apply.,2020-12-30,https://www.rozee.pk/eb-design-studio-fashion-designer-karachi-jobs-1118262.php,Karachi,Pakistan
1116841,iOS Developer,,2020-12-30,https://www.rozee.pk/treehouse-exatex-private-limited-ios-developer-islamabad-karachi-lahore-jobs-1116841.php,Multiple Cities,Pakistan
1116820,Android Mobile Developer,,2020-12-30,https://www.rozee.pk/treehouse-exatex-private-limited-android-mobile-developer-islamabad-karachi-lahore-rawalpindi-jobs-1116820.php,Multiple Cities,Pakistan
1118285,Node.js Developer,,2020-12-30,https://www.rozee.pk/treehouse-exatex-private-limited-nodejs-developer-islamabad-karachi-lahore-jobs-1118285.php,Multiple Cities,Pakistan
1118281,Web Developer,Role and ResponsibilitiesDevelop and maintain code for modern rich internet single page applications (SPA) in AngularTranslate UI/UX designs..,2020-12-30,https://www.rozee.pk/treehouse-exatex-private-limited-web-developer-islamabad-karachi-lahore-jobs-1118281.php,Multiple Cities,Pakistan
1115455,Business Analyst (BA),The BA will be part of a Retail Banking team that provides Cards Management solutions for our clients. This role will involve analyse busine..,2020-12-30,https://www.rozee.pk/silverlake-symmetri-business-analyst-ba-karachi-jobs-1115455.php,Karachi,Pakistan
1117938,Accounts Officer,,2020-12-30,https://www.rozee.pk/aus-foods-accounts-officer-karachi-jobs-1117938.php,Karachi,Pakistan
1118066,Senior Software Engineer,,2020-12-30,https://www.rozee.pk/techno-channels-pakistan-senior-software-engineer-karachi-jobs-1118066.php,Karachi,Pakistan
1118286,Section Officer - Security & Loss Prevention,Secure premises and personnel by patrolling property.Monitoring public areas for potential threats.Identifying potential thieves or vandals ..,2020-12-30,https://www.rozee.pk/imtiaz-super-market-section-officer-security-loss-prevention-karachi-jobs-1118286.php,Karachi,Pakistan
1118280,Finance Lead,nSupervision & controlling of Finance across the designated branch Consolidating branch financial results and reporting to HO Cash/Working C..,2020-12-30,https://www.rozee.pk/imtiaz-super-market-finance-lead-karachi-jobs-1118280.php,Karachi,Pakistan
